,id,gender,masterCategory,subCategory,articleType,baseColour,season,year,usage,productDisplayName,filepath
0,43545,Men,Footwear,Sandal,Sandals,Brown,Summer,2012.0,Casual,Woodland Men Brown Sandals,43545.jpg
1,28092,Men,Apparel,Innerwear,Innerwear Vests,White,Summer,2016.0,Casual,Jockey GOLDEDN Men Gold Edition White Innerwear Vest 4020,28092.jpg
2,12267,Men,Apparel,Topwear,Shirts,Blue,Winter,2011.0,Formal,Genesis Blue Formal Shirt,12267.jpg
3,44944,Women,Apparel,Dress,Dresses,Navy Blue,Fall,2012.0,Casual,United Colors of Benetton Women Navy Blue Dress,44944.jpg
4,42106,Men,Apparel,Topwear,Tshirts,White,Summer,2012.0,Casual,ADIDAS Men White T-shirt,42106.jpg
5,31181,Men,Apparel,Topwear,Tshirts,Blue,Summer,2012.0,Casual,Nike Men Printed Blue T-shirt,31181.jpg
6,32605,Men,Accessories,Wallets,Wallets,Brown,Spring,2013.0,,Levitate Men Brown Wallet,32605.jpg
7,15375,Men,Footwear,Shoes,Casual Shoes,Black,Summer,2013.0,Casual,Fila Men Flow Black Casual Shoes,15375.jpg
8,53147,Women,Footwear,Shoes,Heels,Bronze,Winter,2015.0,Casual,Catwalk Women Brown Wedges,53147.jpg
9,40147,Girls,Apparel,Bottomwear,Capris,Blue,Summer,2012.0,Casual,Gini and Jony Girls Blue Pedal Pusher,40147.jpg
10,17902,Men,Apparel,Bottomwear,Track Pants,Navy Blue,Fall,2011.0,Sports,Nike Men Trainng Navy Blue Track Pant,17902.jpg
11,13983,Unisex,Footwear,Flip Flops,Flip Flops,Red,Fall,2011.0,Casual,Puma Unisex Jive Red Slippers,13983.jpg
12,29562,Men,Footwear,Shoes,Casual Shoes,Navy Blue,Summer,2012.0,Casual,Vans Men Desurgent Navy Blue Casual Shoes,29562.jpg
13,8134,Women,Accessories,Watches,Watches,Black,Winter,2016.0,Casual,Fastrack Women Upgrades Analog Black Steel Watch,8134.jpg
14,20596,Women,Accessories,Wallets,Wallets,Grey,Winter,2015.0,Casual,Baggit Women Highway Cruise Grey Wallet,20596.jpg
15,14683,Men,Apparel,Topwear,Tshirts,Navy Blue,Fall,2011.0,Casual,Basics Men Stripes Navy Blue Polo Tshirts,14683.jpg
16,27012,Women,Apparel,Bottomwear,Capris,Blue,Summer,2012.0,Casual,Jealous 21 Women Navy Blue Capris,27012.jpg
17,10065,Men,Apparel,Topwear,Tshirts,Yellow,Fall,2011.0,Casual,Puma Men ducati logo tee Yellow Tshirts,10065.jpg
18,58960,Men,Personal Care,Fragrance,Perfume and Body Mist,Blue,Spring,2017.0,Casual,Colour Me Men Blue Perfume,58960.jpg
19,42535,Women,Apparel,Topwear,Kurtas,Beige,Summer,2012.0,Ethnic,Mother Earth Women Beige Kurta,42535.jpg
20,8763,Women,Apparel,Bottomwear,Track Pants,Grey,Fall,2011.0,Sports,Puma Women's Jersey Grey Track Pant,8763.jpg
21,41450,Men,Footwear,Shoes,Casual Shoes,White,Fall,2012.0,Casual,Lee Cooper Men White Shoes,41450.jpg
