,id,gender,masterCategory,subCategory,articleType,baseColour,season,year,usage,productDisplayName,filepath
0,27622,Men,Apparel,Bottomwear,Trousers,Grey,Summer,2012.0,Casual,Scullers Men Grey Trousers,27622.jpg
1,16130,Women,Apparel,Topwear,Tops,Pink,Fall,2011.0,Casual,Tokyo Talkies Women Printed Pink Top,16130.jpg
2,39063,Men,Apparel,Topwear,Tshirts,Blue,Summer,2012.0,Casual,Arrow Sport Men Blue & Grey Striped T-shirt,39063.jpg
3,52222,Women,Accessories,Jewellery,Pendant,Black,Summer,2013.0,Casual,Lencia Black and Silver Pendant,52222.jpg
4,14111,Men,Apparel,Topwear,Sweatshirts,Navy Blue,Fall,2011.0,Casual,Flying Machine Men Printed Navy Blue Sweatshirts,14111.jpg
5,6826,Men,Footwear,Sandal,Sandals,Grey,Summer,2011.0,Casual,Timberland Men Nekkol Grey Black Floater,6826.jpg
6,5843,Men,Apparel,Topwear,Tshirts,Black,Summer,2011.0,Sports,Puma Men's Alonso Lifestyle Polo Black T-shirt,5843.jpg
7,45185,Men,Accessories,Watches,Watches,Gold,Winter,2016.0,Formal,CASIO ENTICER Men Black Dial Analogue Watch A630,45185.jpg
8,30304,Men,Apparel,Topwear,Tshirts,Off White,Summer,2012.0,Casual,Myntra Men Soul Rebel Off White T-shirt,30304.jpg
9,25893,Women,Apparel,Topwear,Tops,Brown,Summer,2012.0,Casual,Femella Women Spaghetti Brown Top,25893.jpg
10,23321,Women,Apparel,Topwear,Kurtas,Brown,Fall,2011.0,Ethnic,W Women Brown Printed Kurta,23321.jpg
11,36389,Men,Accessories,Socks,Socks,Grey,Summer,2016.0,Casual,Reid & Taylor Men Grey Socks,36389.jpg
12,9705,Men,Footwear,Sandal,Sandals,Brown,Winter,2015.0,Formal,Hush Puppies Men Decent Brown Sandals,9705.jpg
13,20975,Women,Accessories,Belts,Belts,Brown,Winter,2016.0,Casual,Fastrack Women Leatherette Brown Belt,20975.jpg
14,3017,Men,Apparel,Topwear,Tshirts,Blue,Summer,2011.0,Casual,Lee Men's Salina Light Blue T-shirt,3017.jpg
15,36412,Men,Accessories,Socks,Socks,Grey,Summer,2016.0,Casual,Reid & Taylor Men Grey Socks,36412.jpg
16,13518,Men,Apparel,Topwear,Shirts,Blue,Fall,2011.0,Casual,Probase Men Stripes Blue Shirts,13518.jpg
17,40303,Unisex,Footwear,Sandal,Sandals,White,Winter,2013.0,Casual,Warner Bros Kids Unisex White Sandals,40303.jpg
18,29169,Women,Apparel,Topwear,Tops,Blue,Summer,2012.0,Casual,United Colors of Benetton Women Blue Top,29169.jpg
19,19830,Men,Apparel,Topwear,Shirts,Navy Blue,Fall,2011.0,Casual,U.S. Polo Assn. Men Check Navy Blue Shirt,19830.jpg
20,20735,Women,Footwear,Shoes,Flats,Red,Summer,2012.0,Casual,Enroute Women Mocassin Red Shoes,20735.jpg
21,17192,Men,Apparel,Topwear,Shirts,Maroon,Winter,2016.0,Casual,U.S. Polo Assn. Men Stripes Maroon Shirt,17192.jpg
22,59323,Men,Footwear,Sandal,Sandals,Black,Summer,2012.0,Casual,Gliders Men Black Sandals,59323.jpg
23,4053,Men,Apparel,Topwear,Tshirts,White,Summer,2011.0,Casual,Myntra Men's Eagle Emblem White T-shirt,4053.jpg
24,58002,Women,Apparel,Dress,Dresses,Green,Fall,2012.0,Casual,Latin Quarters Women Green Printed Dress,58002.jpg
25,30605,Men,Apparel,Bottomwear,Track Pants,Grey,Summer,2012.0,Casual,Nike Men Classic Jersey Grey Track Pants,30605.jpg
26,7497,Women,Apparel,Bottomwear,Shorts,Purple,Summer,2011.0,Sports,"Nike Women's EM Tempo 3.5"" Purple Short",7497.jpg
27,42073,Men,Accessories,Wallets,Wallets,Black,Summer,2012.0,Casual,American Tourister Men Black Wallet,42073.jpg
28,46903,Men,Apparel,Bottomwear,Jeans,Blue,Summer,2012.0,Casual,Peter England Men Blue Jeans,46903.jpg
29,21176,Men,Footwear,Shoes,Sports Shoes,White,Fall,2011.0,Sports,ADIDAS Men Theodore White Sports Shoe,21176.jpg
